median_age,Zip Code,total_population,percent_white,percent_black,percent_asian,percent_hispanic,Per Capita Income,median_rent,ALAND10,AWATER10,CITY,AREA
51.2,5828,2011,98,0,1,0,29717,463,139057560,388214,DANVILLE,51.03112
49.4,5829,1788,95,1,0,0,21749,584,65946500,4218112,DERBY,17.07863
44,5830,1648,94,1,2,1,24996,526,81191364,1786901,DERBY LINE,42.50624
47.3,5832,789,97,0,1,2,26584,644,76002045,283237,EAST BURKE,23.13428
34.8,5833,161,100,0,0,0,17298,507,37418210,166031,EAST CHARLESTON,15.27211
41.6,5836,1166,99,0,0,0,26287,511,73952561,717805,EAST HARDWICK,17.65635
41.6,5836,1166,99,0,0,0,26287,511,73952561,717805,EAST HARDWICK,17.65635
48.1,5837,389,96,0,0,1,20195,648,119050697,122197,EAST HAVEN,37.45445
48.1,5837,389,96,0,0,1,20195,648,119050697,122197,EAST HAVEN,37.45445
43.7,5839,777,97,0,0,1,22811,294,62730744,1065437,GLOVER,26.37832
57.7,5841,384,99,0,0,1,35835,658,74238224,4449168,GREENSBORO,33.6914
57.7,5841,384,99,0,0,1,35835,658,74238224,4449168,GREENSBORO,33.6914
38.6,5842,522,94,0,0,0,17567,592,47229611,303757,GREENSBORO BEND,15.0851
38.6,5842,522,94,0,0,0,17567,592,47229611,303757,GREENSBORO BEND,15.0851
39,5843,2636,97,0,0,0,22430,654,93636039,827121,HARDWICK,30.83721
39,5843,2636,97,0,0,0,22430,654,93636039,827121,HARDWICK,30.83721
39,5843,2636,97,0,0,0,22430,654,93636039,827121,HARDWICK,30.83721
48.1,5845,1037,97,0,0,2,23337,575,108355255,854151,IRASBURG,34.83586
46.5,5846,1008,98,0,0,0,18594,487,144093066,3826064,ISLAND POND,105.5261
46.5,5846,1008,98,0,0,0,18594,487,144093066,3826064,ISLAND POND,105.5261
37,5847,845,90,0,0,7,19841,660,145028378,207782,LOWELL,53.74304
19.6,5850,185,81,0,0,0,15664,NA,1049966,20883,LYNDON CENTER,0.50691
37.5,5851,6589,96,1,1,1,18954,683,206592738,1800051,LYNDONVILLE,84.61858
44.2,5853,755,98,0,0,2,26519,541,77634621,7513363,MORGAN,33.31059
43,5855,7321,96,1,0,1,21912,543,144527504,24343972,NEWPORT,57.74361
49.4,5857,1596,97,0,0,3,23226,631,106880195,4820423,NEWPORT CENTER,42.04346
35,5858,468,88,0,0,8,18078,NA,202684213,684847,NORTH CONCORD,91.59923
39,5859,2075,99,0,0,1,19322,567,144069615,818543,NORTH TROY,65.24399
41.8,5860,2596,96,2,0,1,19929,534,195950858,5959572,ORLEANS,70.50108
52.4,5862,387,97,0,0,3,28539,408,71202270,2335875,PEACHAM,41.24605
50.6,5866,559,100,0,0,0,21550,575,84455972,667551,SHEFFIELD,34.78126
40.8,5867,877,99,0,0,0,16358,475,93299584,506382,SUTTON,37.38636
40.8,5867,877,99,0,0,0,16358,475,93299584,506382,SUTTON,37.38636
43.8,5868,279,100,0,0,0,25689,525,36339231,121544,TROY,4.03649
39.4,5871,1569,94,5,0,1,22083,502,122243154,1252472,WEST BURKE,48.10104
51.3,5872,683,98,0,1,0,23508,575,62474814,3545921,WEST CHARLESTON,23.97282
45.1,5873,583,99,0,0,0,25812,584,76625137,1185056,WEST DANVILLE,38.93573
45.1,5873,583,99,0,0,0,25812,584,76625137,1185056,WEST DANVILLE,38.93573
41.7,5874,541,99,1,0,0,28252,457,94845378,274953,WESTFIELD,36.0999
45.1,5875,496,98,0,0,0,27077,529,43472096,1685988,WEST GLOVER,15.19863
80.3,5901,15,100,0,0,0,19067,NA,92780153,4530286,AVERILL,38.29355
50.5,5902,180,98,0,0,2,24541,522,2741542,160056,BEECHER FALLS,2.87411
46.1,5903,1088,95,3,0,2,20258,531,172662654,961347,CANAAN,29.86526
47.4,5904,229,100,0,0,0,15947,506,1479506,240607,GILMAN,1.13431
52.1,5905,753,98,0,0,0,26074,617,488266020,8227077,GUILDHALL,166.11528
45.4,5906,1264,96,1,0,0,19979,579,124653118,1627286,LUNENBURG,47.79478
59.4,5907,160,99,0,0,1,23422,513,285311228,4413003,NORTON,56.97397
